quarter,Penetration rate
2004-Q3,89.2
2004-Q4,91.36666667
2005-Q1,94.66666667
2005-Q2,96.26666667
2005-Q3,97.53333333
2005-Q4,98.73333333
2006-Q1,101.9
2006-Q2,189.4
2006-Q3,98.83333333
2006-Q4,103.4333333
2007-Q1,107.6
2007-Q2,110.1333333
2007-Q3,112.9
2007-Q4,119.1
2008-Q1,127.2333333
2008-Q2,130.1333333
2008-Q3,128.7333333
2008-Q4,130.2666667
2009-Q1,131.8666667
2009-Q2,132.5333333
2009-Q3,133.1666667
2009-Q4,136.4666667
2010-Q1,137.8333333
2010-Q2,139.6666667
2010-Q3,141.5333333
2010-Q4,142.8
2011-Q1,144.5333333
2011-Q2,147.2333333
2011-Q3,148.1666667
2011-Q4,149
2012-Q1,149.6
2012-Q2,150.8666667
2012-Q3,149.8333333
2012-Q4,150.7
2013-Q1,152.5333333
2013-Q2,153.4333333
2013-Q3,154.6
2013-Q4,155.3
2014-Q1,155.7666667
2014-Q2,154.7666667
2014-Q3,152.1333333
2014-Q4,148.3333333
2015-Q1,148.1333333
2015-Q2,148.5
2015-Q3,147.3666667
2015-Q4,147.8333333
2016-Q1,148.7333333
2016-Q2,148.9
2016-Q3,149.1333333
2016-Q4,149.3666667